#;Pokémon;;HP;Attack;Defense;Sp. Attack;Sp. Defense;Speed;Total
319;;"Sharpedo
Mega Sharpedo";70;140;70;110;65;105;560
320;;Wailmer;130;70;35;70;35;60;400
321;;Wailord;170;90;45;90;45;60;500
322;;Numel;60;60;40;65;45;35;305
323;;Camerupt;70;100;70;105;75;40;460
323;;"Camerupt
Mega Camerupt";70;120;100;145;105;20;560
324;;Torkoal;70;85;140;85;70;20;470
325;;Spoink;60;25;35;70;80;60;330
326;;Grumpig;80;45;65;90;110;80;470
327;;Spinda;60;60;60;60;60;60;360
328;;Trapinch;45;100;45;45;45;10;290
329;;Vibrava;50;70;50;50;50;70;340
330;;Flygon;80;100;80;80;80;100;520
331;;Cacnea;50;85;40;85;40;35;335
332;;Cacturne;70;115;60;115;60;55;475
333;;Swablu;45;40;60;40;75;50;310
334;;Altaria;75;70;90;70;105;80;490
334;;"Altaria
Mega Altaria";75;110;110;110;105;80;590
335;;Zangoose;73;115;60;60;60;90;458
336;;Seviper;73;100;60;100;60;65;458
337;;Lunatone;90;55;65;95;85;70;460
338;;Solrock;90;95;85;55;65;70;460
339;;Barboach;50;48;43;46;41;60;288
340;;Whiscash;110;78;73;76;71;60;468
341;;Corphish;43;80;65;50;35;35;308
342;;Crawdaunt;63;120;85;90;55;55;468
343;;Baltoy;40;40;55;40;70;55;300
344;;Claydol;60;70;105;70;120;75;500
345;;Lileep;66;41;77;61;87;23;355
346;;Cradily;86;81;97;81;107;43;495
347;;Anorith;45;95;50;40;50;75;355
348;;Armaldo;75;125;100;70;80;45;495
349;;Feebas;20;15;20;10;55;80;200
350;;Milotic;95;60;79;100;125;81;540
351;;Castform;70;70;70;70;70;70;420
352;;Kecleon;60;90;70;60;120;40;440
353;;Shuppet;44;75;35;63;33;45;295
354;;Banette;64;115;65;83;63;65;455
354;;"Banette
Mega Banette";64;165;75;93;83;75;555
355;;Duskull;20;40;90;30;90;25;295
356;;Dusclops;40;70;130;60;130;25;455
357;;Tropius;99;68;83;72;87;51;460
358;;Chimecho;75;50;80;95;90;65;455
359;;Absol;65;130;60;75;60;75;465
359;;"Absol
Mega Absol";65;150;60;115;60;115;565
360;;Wynaut;95;23;48;23;48;23;260
361;;Snorunt;50;50;50;50;50;50;300
362;;Glalie;80;80;80;80;80;80;480
362;;"Glalie
Mega Glalie";80;120;80;120;80;100;580
363;;Spheal;70;40;50;55;50;25;290
364;;Sealeo;90;60;70;75;70;45;410
365;;Walrein;110;80;90;95;90;65;530
366;;Clamperl;35;64;85;74;55;32;345
367;;Huntail;55;104;105;94;75;52;485
368;;Gorebyss;55;84;105;114;75;52;485
369;;Relicanth;100;90;130;45;65;55;485
370;;Luvdisc;43;30;55;40;65;97;330
371;;Bagon;45;75;60;40;30;50;300
372;;Shelgon;65;95;100;60;50;50;420
373;;Salamence;95;135;80;110;80;100;600
373;;"Salamence
Mega Salamence";95;145;130;120;90;120;700
374;;Beldum;40;55;80;35;60;30;300
375;;Metang;60;75;100;55;80;50;420
376;;Metagross;80;135;130;95;90;70;600
376;;"Metagross
Mega Metagross";80;145;150;105;110;110;700
377;;Regirock;80;100;200;50;100;50;580
378;;Regice;80;50;100;100;200;50;580
379;;Registeel;80;75;150;75;150;50;580
380;;Latias;80;80;90;110;130;110;600
380;;"Latias
Mega Latias";80;100;120;140;150;110;700
381;;Latios;80;90;80;130;110;110;600
381;;"Latios
Mega Latios";80;130;100;160;120;110;700
382;;Kyogre;100;100;90;150;140;90;670
382;;"Kyogre
Primal Kyogre";100;150;90;180;160;90;770
383;;Groudon;100;150;140;100;90;90;670
383;;"Groudon
Primal Groudon";100;180;160;150;90;90;770
384;;Rayquaza;105;150;90;150;90;95;680
384;;"Rayquaza
Mega Rayquaza";105;180;100;180;100;115;780
385;;Jirachi;100;100;100;100;100;100;600
386;;"Deoxys
Normal Forme";50;150;50;150;50;150;600
386;;"Deoxys
Attack Forme";50;180;20;180;20;150;600
386;;"Deoxys
Defense Forme";50;70;160;70;160;90;600
386;;"Deoxys
Speed Forme";50;95;90;95;90;180;600
387;;Turtwig;55;68;64;45;55;31;318
388;;Grotle;75;89;85;55;65;36;405
389;;Torterra;95;109;105;75;85;56;525
390;;Chimchar;44;58;44;58;44;61;309
391;;Monferno;64;78;52;78;52;81;405
392;;Infernape;76;104;71;104;71;108;534
393;;Piplup;53;51;53;61;56;40;314
394;;Prinplup;64;66;68;81;76;50;405
395;;Empoleon;84;86;88;111;101;60;530
396;;Starly;40;55;30;30;30;60;245
397;;Staravia;55;75;50;40;40;80;340
398;;Staraptor;85;120;70;50;60;100;485
399;;Bidoof;59;45;40;35;40;31;250
400;;Bibarel;79;85;60;55;60;71;410
401;;Kricketot;37;25;41;25;41;25;194
402;;Kricketune;77;85;51;55;51;65;384
403;;Shinx;45;65;34;40;34;45;263
404;;Luxio;60;85;49;60;49;60;363
405;;Luxray;80;120;79;95;79;70;523
406;;Budew;40;30;35;50;70;55;280
407;;Roserade;60;70;65;125;105;90;515
408;;Cranidos;67;125;40;30;30;58;350
409;;Rampardos;97;165;60;65;50;58;495
410;;Shieldon;30;42;118;42;88;30;350
411;;Bastiodon;60;52;168;47;138;30;495
412;;Burmy;40;29;45;29;45;36;224
413;;"Wormadam
Plant Cloak";60;59;85;79;105;36;424
413;;"Wormadam
Sandy Cloak";60;79;105;59;85;36;424
413;;"Wormadam
Trash Cloak";60;69;95;69;95;36;424
414;;Mothim;70;94;50;94;50;66;424
415;;Combee;30;30;42;30;42;70;244
416;;Vespiquen;70;80;102;80;102;40;474
417;;Pachirisu;60;45;70;45;90;95;405
418;;Buizel;55;65;35;60;30;85;330
419;;Floatzel;85;105;55;85;50;115;495
420;;Cherubi;45;35;45;62;53;35;275
421;;Cherrim;70;60;70;87;78;85;450
422;;Shellos;76;48;48;57;62;34;325
423;;Gastrodon;111;83;68;92;82;39;475
424;;Ambipom;75;100;66;60;66;115;482
425;;Drifloon;90;50;34;60;44;70;348
426;;Drifblim;150;80;44;90;54;80;498
427;;Buneary;55;66;44;44;56;85;350
428;;Lopunny;65;76;84;54;96;105;480
428;;"Lopunny
Mega Lopunny";65;136;94;54;96;135;580
429;;Mismagius;60;60;60;105;105;105;495
430;;Honchkrow;100;125;52;105;52;71;505
431;;Glameow;49;55;42;42;37;85;310
432;;Purugly;71;82;64;64;59;112;452
433;;Chingling;45;30;50;65;50;45;285
434;;Stunky;63;63;47;41;41;74;329
435;;Skuntank;103;93;67;71;61;84;479
436;;Bronzor;57;24;86;24;86;23;300
437;;Bronzong;67;89;116;79;116;33;500
438;;Bonsly;50;80;95;10;45;10;290
439;;Mime Jr.;20;25;45;70;90;60;310
440;;Happiny;100;5;5;15;65;30;220
441;;Chatot;76;65;45;92;42;91;411
442;;Spiritomb;50;92;108;92;108;35;485
443;;Gible;58;70;45;40;45;42;300
444;;Gabite;68;90;65;50;55;82;410
445;;Garchomp;108;130;95;80;85;102;600
445;;"Garchomp
Mega Garchomp";108;170;115;120;95;92;700
446;;Munchlax;135;85;40;40;85;5;390
447;;Riolu;40;70;40;35;40;60;285
448;;Lucario;70;110;70;115;70;90;525
448;;"Lucario
Mega Lucario";70;145;88;140;70;112;625
449;;Hippopotas;68;72;78;38;42;32;330
450;;Hippowdon;108;112;118;68;72;47;525
451;;Skorupi;40;50;90;30;55;65;330
452;;Drapion;70;90;110;60;75;95;500
453;;Croagunk;48;61;40;61;40;50;300
454;;Toxicroak;83;106;65;86;65;85;490
455;;Carnivine;74;100;72;90;72;46;454
456;;Finneon;49;49;56;49;61;66;330
457;;Lumineon;69;69;76;69;86;91;460
458;;Mantyke;45;20;50;60;120;50;345
459;;Snover;60;62;50;62;60;40;334
460;;Abomasnow;90;92;75;92;85;60;494
460;;"Abomasnow
Mega Abomasnow";90;132;105;132;105;30;594
461;;Weavile;70;120;65;45;85;125;510
462;;Magnezone;70;70;115;130;90;60;535
463;;Lickilicky;110;85;95;80;95;50;515
464;;Rhyperior;115;140;130;55;55;40;535
465;;Tangrowth;100;100;125;110;50;50;535
466;;Electivire;75;123;67;95;85;95;540
467;;Magmortar;75;95;67;125;95;83;540
468;;Togekiss;85;50;95;120;115;80;545
469;;Yanmega;86;76;86;116;56;95;515
470;;Leafeon;65;110;130;60;65;95;525
471;;Glaceon;65;60;110;130;95;65;525
472;;Gliscor;75;95;125;45;75;95;510
473;;Mamoswine;110;130;80;70;60;80;530
474;;Porygon-Z;85;80;70;135;75;90;535
475;;Gallade;68;125;65;65;115;80;518
475;;"Gallade
Mega Gallade";68;165;95;65;115;110;618
476;;Probopass;60;55;145;75;150;40;525
477;;Dusknoir;45;100;135;65;135;45;525
478;;Froslass;70;80;70;80;70;110;480
479;;Rotom;50;50;77;95;77;91;440
479;;"Rotom
Heat Rotom";50;65;107;105;107;86;520
479;;"Rotom
Wash Rotom";50;65;107;105;107;86;520
479;;"Rotom
Frost Rotom";50;65;107;105;107;86;520
479;;"Rotom
Fan Rotom";50;65;107;105;107;86;520
479;;"Rotom
Mow Rotom";50;65;107;105;107;86;520
480;;Uxie;75;75;130;75;130;95;580
481;;Mesprit;80;105;105;105;105;80;580
482;;Azelf;75;125;70;125;70;115;580
483;;Dialga;100;120;120;150;100;90;680
483;;"Dialga
Origin Forme";100;100;120;150;120;90;680
484;;Palkia;90;120;100;150;120;100;680
484;;"Palkia
Origin Forme";90;100;100;150;120;120;680
485;;Heatran;91;90;106;130;106;77;600
486;;Regigigas;110;160;110;80;110;100;670
487;;"Giratina
Altered Forme";150;100;120;100;120;90;680
487;;"Giratina
Origin Forme";150;120;100;120;100;90;680
488;;Cresselia;120;70;110;75;120;85;580
489;;Phione;80;80;80;80;80;80;480
490;;Manaphy;100;100;100;100;100;100;600
491;;Darkrai;70;90;90;135;90;125;600
492;;"Shaymin
Land Forme";100;100;100;100;100;100;600
492;;"Shaymin
Sky Forme";100;103;75;120;75;127;600
493;;Arceus;120;120;120;120;120;120;720
494;;Victini;100;100;100;100;100;100;600
495;;Snivy;45;45;55;45;55;63;308
496;;Servine;60;60;75;60;75;83;413
497;;Serperior;75;75;95;75;95;113;528
498;;Tepig;65;63;45;45;45;45;308
499;;Pignite;90;93;55;70;55;55;418
500;;Emboar;110;123;65;100;65;65;528
501;;Oshawott;55;55;45;63;45;45;308
502;;Dewott;75;75;60;83;60;60;413
503;;Samurott;95;100;85;108;70;70;528
503;;"Samurott
Hisuian Samurott";90;108;80;100;65;85;528
504;;Patrat;45;55;39;35;39;42;255
505;;Watchog;60;85;69;60;69;77;420
506;;Lillipup;45;60;45;25;45;55;275
507;;Herdier;65;80;65;35;65;60;370
508;;Stoutland;85;110;90;45;90;80;500
509;;Purrloin;41;50;37;50;37;66;281
510;;Liepard;64;88;50;88;50;106;446
511;;Pansage;50;53;48;53;48;64;316
512;;Simisage;75;98;63;98;63;101;498
513;;Pansear;50;53;48;53;48;64;316
514;;Simisear;75;98;63;98;63;101;498
515;;Panpour;50;53;48;53;48;64;316
516;;Simipour;75;98;63;98;63;101;498
517;;Munna;76;25;45;67;55;24;292
518;;Musharna;116;55;85;107;95;29;487
519;;Pidove;50;55;50;36;30;43;264
520;;Tranquill;62;77;62;50;42;65;358
521;;Unfezant;80;115;80;65;55;93;488
522;;Blitzle;45;60;32;50;32;76;295
523;;Zebstrika;75;100;63;80;63;116;497
524;;Roggenrola;55;75;85;25;25;15;280
525;;Boldore;70;105;105;50;40;20;390
526;;Gigalith;85;135;130;60;80;25;515
527;;Woobat;65;45;43;55;43;72;323
528;;Swoobat;67;57;55;77;55;114;425
529;;Drilbur;60;85;40;30;45;68;328
530;;Excadrill;110;135;60;50;65;88;508
531;;Audino;103;60;86;60;86;50;445
531;;"Audino
Mega Audino";103;60;126;80;126;50;545
532;;Timburr;75;80;55;25;35;35;305
533;;Gurdurr;85;105;85;40;50;40;405
534;;Conkeldurr;105;140;95;55;65;45;505
535;;Tympole;50;50;40;50;40;64;294
536;;Palpitoad;75;65;55;65;55;69;384
537;;Seismitoad;105;95;75;85;75;74;509
538;;Throh;120;100;85;30;85;45;465
539;;Sawk;75;125;75;30;75;85;465
540;;Sewaddle;45;53;70;40;60;42;310
541;;Swadloon;55;63;90;50;80;42;380
542;;Leavanny;75;103;80;70;80;92;500
543;;Venipede;30;45;59;30;39;57;260
544;;Whirlipede;40;55;99;40;79;47;360
545;;Scolipede;60;100;89;55;69;112;485
546;;Cottonee;40;27;60;37;50;66;280
547;;Whimsicott;60;67;85;77;75;116;480
548;;Petilil;45;35;50;70;50;30;280
549;;Lilligant;70;60;75;110;75;90;480
549;;"Lilligant
Hisuian Lilligant";70;105;75;50;75;105;480
550;;Basculin;70;92;65;80;55;98;460
551;;Sandile;50;72;35;35;35;65;292
552;;Krokorok;60;82;45;45;45;74;351
553;;Krookodile;95;117;80;65;70;92;519
554;;Darumaka;70;90;45;15;45;50;315
554;;"Darumaka
Galarian Darumaka";70;90;45;15;45;50;315
555;;"Darmanitan
Standard Mode";105;140;55;30;55;95;480
555;;"Darmanitan
Zen Mode";105;30;105;140;105;55;540
555;;"Darmanitan
Galarian Standard Mode";105;140;55;30;55;95;480
555;;"Darmanitan
Galarian Zen Mode";105;160;55;30;55;135;540
556;;Maractus;75;86;67;106;67;60;461
557;;Dwebble;50;65;85;35;35;55;325
558;;Crustle;70;105;125;65;75;45;485
559;;Scraggy;50;75;70;35;70;48;348
560;;Scrafty;65;90;115;45;115;58;488
561;;Sigilyph;72;58;80;103;80;97;490
562;;Yamask;38;30;85;55;65;30;303
562;;"Yamask
Galarian Yamask";38;55;85;30;65;30;303
563;;Cofagrigus;58;50;145;95;105;30;483
564;;Tirtouga;54;78;103;53;45;22;355
565;;Carracosta;74;108;133;83;65;32;495
566;;Archen;55;112;45;74;45;70;401
567;;Archeops;75;140;65;112;65;110;567
568;;Trubbish;50;50;62;40;62;65;329
569;;Garbodor;80;95;82;60;82;75;474
570;;Zorua;40;65;40;80;40;65;330
570;;"Zorua
Hisuian Zorua";35;60;40;85;40;70;330
571;;Zoroark;60;105;60;120;60;105;510
571;;"Zoroark
Hisuian Zoroark";55;100;60;125;60;110;510
572;;Minccino;55;50;40;40;40;75;300
573;;Cinccino;75;95;60;65;60;115;470
574;;Gothita;45;30;50;55;65;45;290
575;;Gothorita;60;45;70;75;85;55;390
576;;Gothitelle;70;55;95;95;110;65;490
577;;Solosis;45;30;40;105;50;20;290
578;;Duosion;65;40;50;125;60;30;370
579;;Reuniclus;110;65;75;125;85;30;490
580;;Ducklett;62;44;50;44;50;55;305
581;;Swanna;75;87;63;87;63;98;473
582;;Vanillite;36;50;50;65;60;44;305
583;;Vanillish;51;65;65;80;75;59;395
584;;Vanilluxe;71;95;85;110;95;79;535
585;;Deerling;60;60;50;40;50;75;335
586;;Sawsbuck;80;100;70;60;70;95;475
587;;Emolga;55;75;60;75;60;103;428
588;;Karrablast;50;75;45;40;45;60;315
589;;Escavalier;70;135;105;60;105;20;495
590;;Foongus;69;55;45;55;55;15;294
591;;Amoonguss;114;85;70;85;80;30;464
592;;Frillish;55;40;50;65;85;40;335
593;;Jellicent;100;60;70;85;105;60;480
594;;Alomomola;165;75;80;40;45;65;470
595;;Joltik;50;47;50;57;50;65;319
596;;Galvantula;70;77;60;97;60;108;472
597;;Ferroseed;44;50;91;24;86;10;305
598;;Ferrothorn;74;94;131;54;116;20;489
599;;Klink;40;55;70;45;60;30;300
600;;Klang;60;80;95;70;85;50;440
601;;Klinklang;60;100;115;70;85;90;520
602;;Tynamo;35;55;40;45;40;60;275
603;;Eelektrik;65;85;70;75;70;40;405
604;;Eelektross;85;115;80;105;80;50;515
605;;Elgyem;55;55;55;85;55;30;335
606;;Beheeyem;75;75;75;125;95;40;485
607;;Litwick;50;30;55;65;55;20;275
608;;Lampent;60;40;60;95;60;55;370
609;;Chandelure;60;55;90;145;90;80;520
610;;Axew;46;87;60;30;40;57;320
611;;Fraxure;66;117;70;40;50;67;410
612;;Haxorus;76;147;90;60;70;97;540
613;;Cubchoo;55;70;40;60;40;40;305
614;;Beartic;95;130;80;70;80;50;505
615;;Cryogonal;80;50;50;95;135;105;515
616;;Shelmet;50;40;85;40;65;25;305
617;;Accelgor;80;70;40;100;60;145;495
618;;Stunfisk;109;66;84;81;99;32;471
618;;"Stunfisk
Galarian Stunfisk";109;81;99;66;84;32;471
619;;Mienfoo;45;85;50;55;50;65;350
620;;Mienshao;65;125;60;95;60;105;510
621;;Druddigon;77;120;90;60;90;48;485
622;;Golett;59;74;50;35;50;35;303
623;;Golurk;89;124;80;55;80;55;483
624;;Pawniard;45;85;70;40;40;60;340
625;;Bisharp;65;125;100;60;70;70;490
626;;Bouffalant;95;110;95;40;95;55;490
627;;Rufflet;70;83;50;37;50;60;350
628;;Braviary;100;123;75;57;75;80;510
628;;"Braviary
Hisuian Braviary";110;83;70;112;70;65;510
629;;Vullaby;70;55;75;45;65;60;370
630;;Mandibuzz;110;65;105;55;95;80;510
631;;Heatmor;85;97;66;105;66;65;484
632;;Durant;58;109;112;48;48;109;484
633;;Deino;52;65;50;45;50;38;300
634;;Zweilous;72;85;70;65;70;58;420
635;;Hydreigon;92;105;90;125;90;98;600
636;;Larvesta;55;85;55;50;55;60;360
637;;Volcarona;85;60;65;135;105;100;550
638;;Cobalion;91;90;129;90;72;108;580
639;;Terrakion;91;129;90;72;90;108;580
640;;Virizion;91;90;72;90;129;108;580
641;;"Tornadus
Incarnate Forme";79;115;70;125;80;111;580
641;;"Tornadus
Therian Forme";79;100;80;110;90;121;580
642;;"Thundurus
Incarnate Forme";79;115;70;125;80;111;580
642;;"Thundurus
Therian Forme";79;105;70;145;80;101;580
643;;Reshiram;100;120;100;150;120;90;680
644;;Zekrom;100;150;120;120;100;90;680
645;;"Landorus
Incarnate Forme";89;125;90;115;80;101;600
645;;"Landorus
Therian Forme";89;145;90;105;80;91;600
646;;Kyurem;125;130;90;130;90;95;660
646;;"Kyurem
White Kyurem";125;120;90;170;100;95;700
646;;"Kyurem
Black Kyurem";125;170;100;120;90;95;700
647;;Keldeo;91;72;90;129;90;108;580
648;;"Meloetta
Aria Forme";100;77;77;128;128;90;600
648;;"Meloetta
Pirouette Forme";100;128;90;77;77;128;600
649;;Genesect;71;120;95;120;95;99;600
650;;Chespin;56;61;65;48;45;38;313
651;;Quilladin;61;78;95;56;58;57;405
652;;Chesnaught;88;107;122;74;75;64;530
653;;Fennekin;40;45;40;62;60;60;307
654;;Braixen;59;59;58;90;70;73;409
655;;Delphox;75;69;72;114;100;104;534
656;;Froakie;41;56;40;62;44;71;314
657;;Frogadier;54;63;52;83;56;97;405
658;;Greninja;72;95;67;103;71;122;530
658;;"Greninja
Ash-Greninja";72;145;67;153;71;132;640
659;;Bunnelby;38;36;38;32;36;57;237
660;;Diggersby;85;56;77;50;77;78;423
661;;Fletchling;45;50;43;40;38;62;278
662;;Fletchinder;62;73;55;56;52;84;382
663;;Talonflame;78;81;71;74;69;126;499
664;;Scatterbug;38;35;40;27;25;35;200
665;;Spewpa;45;22;60;27;30;29;213
666;;Vivillon;80;52;50;90;50;89;411
667;;Litleo;62;50;58;73;54;72;369
668;;Pyroar;86;68;72;109;66;106;507
