#;Pokémon;;HP;Attack;Defense;Sp. Attack;Sp. Defense;Speed;Total
669;;Flabébé;44;38;39;61;79;42;303
670;;Floette;54;45;47;75;98;52;371
670;;"Floette
Eternal Flower";74;65;67;125;128;92;551
671;;Florges;78;65;68;112;154;75;552
672;;Skiddo;66;65;48;62;57;52;350
673;;Gogoat;123;100;62;97;81;68;531
674;;Pancham;67;82;62;46;48;43;348
675;;Pangoro;95;124;78;69;71;58;495
676;;Furfrou;75;80;60;65;90;102;472
677;;Espurr;62;48;54;63;60;68;355
678;;Meowstic;74;48;76;83;81;104;466
679;;Honedge;45;80;100;35;37;28;325
680;;Doublade;59;110;150;45;49;35;448
681;;"Aegislash
Shield Forme";60;50;140;50;140;60;500
681;;"Aegislash
Blade Forme";60;140;50;140;50;60;500
682;;Spritzee;78;52;60;63;65;23;341
683;;Aromatisse;101;72;72;99;89;29;462
684;;Swirlix;62;48;66;59;57;49;341
685;;Slurpuff;82;80;86;85;75;72;480
686;;Inkay;53;54;53;37;46;45;288
687;;Malamar;86;92;88;68;75;73;482
688;;Binacle;42;52;67;39;56;50;306
689;;Barbaracle;72;105;115;54;86;68;500
690;;Skrelp;50;60;60;60;60;30;320
691;;Dragalge;65;75;90;97;123;44;494
692;;Clauncher;50;53;62;58;63;44;330
693;;Clawitzer;71;73;88;120;89;59;500
694;;Helioptile;44;38;33;61;43;70;289
695;;Heliolisk;62;55;52;109;94;109;481
696;;Tyrunt;58;89;77;45;45;48;362
697;;Tyrantrum;82;121;119;69;59;71;521
698;;Amaura;77;59;50;67;63;46;362
699;;Aurorus;123;77;72;99;92;58;521
700;;Sylveon;95;65;65;110;130;60;525
701;;Hawlucha;78;92;75;74;63;118;500
702;;Dedenne;67;58;57;81;67;101;431
703;;Carbink;50;50;150;50;150;50;500
704;;Goomy;45;50;35;55;75;40;300
705;;Sliggoo;68;75;53;83;113;60;452
705;;"Sliggoo
Hisuian Sliggoo";58;75;83;83;113;40;452
706;;Goodra;90;100;70;110;150;80;600
706;;"Goodra
Hisuian Goodra";80;100;100;110;150;60;600
707;;Klefki;57;80;91;80;87;75;470
708;;Phantump;43;70;48;50;60;38;309
709;;Trevenant;85;110;76;65;82;56;474
710;;"Pumpkaboo
Small Size";44;66;70;44;55;56;335
710;;"Pumpkaboo
Average Size";49;66;70;44;55;51;335
710;;"Pumpkaboo
Large Size";54;66;70;44;55;46;335
710;;"Pumpkaboo
Super Size";59;66;70;44;55;41;335
711;;"Gourgeist
Small Size";55;85;122;58;75;99;494
711;;"Gourgeist
Average Size";65;90;122;58;75;84;494
711;;"Gourgeist
Large Size";75;95;122;58;75;69;494
711;;"Gourgeist
Super Size";85;100;122;58;75;54;494
712;;Bergmite;55;69;85;32;35;28;304
713;;Avalugg;95;117;184;44;46;28;514
713;;"Avalugg
Hisuian Avalugg";95;127;184;34;36;38;514
714;;Noibat;40;30;35;45;40;55;245
715;;Noivern;85;70;80;97;80;123;535
716;;Xerneas;126;131;95;131;98;99;680
717;;Yveltal;126;131;95;131;98;99;680
718;;"Zygarde
50% Forme";108;100;121;81;95;95;600
718;;"Zygarde
10% Forme";54;100;71;61;85;115;486
718;;"Zygarde
Complete Forme";216;100;121;91;95;85;708
719;;Diancie;50;100;150;100;150;50;600
719;;"Diancie
Mega Diancie";50;160;110;160;110;110;700
720;;"Hoopa
Hoopa Confined";80;110;60;150;130;70;600
720;;"Hoopa
Hoopa Unbound";80;160;60;170;130;80;680
721;;Volcanion;80;110;120;130;90;70;600
722;;Rowlet;68;55;55;50;50;42;320
723;;Dartrix;78;75;75;70;70;52;420
724;;Decidueye;78;107;75;100;100;70;530
724;;"Decidueye
Hisuian Decidueye";88;112;80;95;95;60;530
725;;Litten;45;65;40;60;40;70;320
726;;Torracat;65;85;50;80;50;90;420
727;;Incineroar;95;115;90;80;90;60;530
728;;Popplio;50;54;54;66;56;40;320
729;;Brionne;60;69;69;91;81;50;420
730;;Primarina;80;74;74;126;116;60;530
731;;Pikipek;35;75;30;30;30;65;265
732;;Trumbeak;55;85;50;40;50;75;355
733;;Toucannon;80;120;75;75;75;60;485
734;;Yungoos;48;70;30;30;30;45;253
735;;Gumshoos;88;110;60;55;60;45;418
736;;Grubbin;47;62;45;55;45;46;300
737;;Charjabug;57;82;95;55;75;36;400
738;;Vikavolt;77;70;90;145;75;43;500
739;;Crabrawler;47;82;57;42;47;63;338
740;;Crabominable;97;132;77;62;67;43;478
741;;Oricorio;75;70;70;98;70;93;476
742;;Cutiefly;40;45;40;55;40;84;304
743;;Ribombee;60;55;60;95;70;124;464
744;;Rockruff;45;65;40;30;40;60;280
745;;"Lycanroc
Midday Form";75;115;65;55;65;112;487
745;;"Lycanroc
Midnight Form";85;115;75;55;75;82;487
745;;"Lycanroc
Dusk Form";75;117;65;55;65;110;487
746;;"Wishiwashi
Solo Form";45;20;20;25;25;40;175
746;;"Wishiwashi
School Form";45;140;130;140;135;30;620
747;;Mareanie;50;53;62;43;52;45;305
748;;Toxapex;50;63;152;53;142;35;495
749;;Mudbray;70;100;70;45;55;45;385
750;;Mudsdale;100;125;100;55;85;35;500
751;;Dewpider;38;40;52;40;72;27;269
752;;Araquanid;68;70;92;50;132;42;454
753;;Fomantis;40;55;35;50;35;35;250
754;;Lurantis;70;105;90;80;90;45;480
755;;Morelull;40;35;55;65;75;15;285
756;;Shiinotic;60;45;80;90;100;30;405
757;;Salandit;48;44;40;71;40;77;320
758;;Salazzle;68;64;60;111;60;117;480
759;;Stufful;70;75;50;45;50;50;340
760;;Bewear;120;125;80;55;60;60;500
761;;Bounsweet;42;30;38;30;38;32;210
762;;Steenee;52;40;48;40;48;62;290
763;;Tsareena;72;120;98;50;98;72;510
764;;Comfey;51;52;90;82;110;100;485
765;;Oranguru;90;60;80;90;110;60;490
766;;Passimian;100;120;90;40;60;80;490
767;;Wimpod;25;35;40;20;30;80;230
768;;Golisopod;75;125;140;60;90;40;530
769;;Sandygast;55;55;80;70;45;15;320
770;;Palossand;85;75;110;100;75;35;480
771;;Pyukumuku;55;60;130;30;130;5;410
772;;Type: Null;95;95;95;95;95;59;534
773;;Silvally;95;95;95;95;95;95;570
774;;"Minior
Meteor Form";60;60;100;60;100;60;440
774;;"Minior
Core";60;100;60;100;60;120;500
775;;Komala;65;115;65;75;95;65;480
776;;Turtonator;60;78;135;91;85;36;485
777;;Togedemaru;65;98;63;40;73;96;435
778;;Mimikyu;55;90;80;50;105;96;476
779;;Bruxish;68;105;70;70;70;92;475
780;;Drampa;78;60;85;135;91;36;485
781;;Dhelmise;70;131;100;86;90;40;517
782;;Jangmo-o;45;55;65;45;45;45;300
783;;Hakamo-o;55;75;90;65;70;65;420
784;;Kommo-o;75;110;125;100;105;85;600
785;;Tapu Koko;70;115;85;95;75;130;570
786;;Tapu Lele;70;85;75;130;115;95;570
787;;Tapu Bulu;70;130;115;85;95;75;570
788;;Tapu Fini;70;75;115;95;130;85;570
789;;Cosmog;43;29;31;29;31;37;200
790;;Cosmoem;43;29;131;29;131;37;400
791;;Solgaleo;137;137;107;113;89;97;680
792;;Lunala;137;113;89;137;107;97;680
793;;Nihilego;109;53;47;127;131;103;570
794;;Buzzwole;107;139;139;53;53;79;570
795;;Pheromosa;71;137;37;137;37;151;570
796;;Xurkitree;83;89;71;173;71;83;570
797;;Celesteela;97;101;103;107;101;61;570
798;;Kartana;59;181;131;59;31;109;570
799;;Guzzlord;223;101;53;97;53;43;570
800;;Necrozma;97;107;101;127;89;79;600
800;;"Necrozma
Dusk Mane Necrozma";97;157;127;113;109;77;680
800;;"Necrozma
Dawn Wings Necrozma";97;113;109;157;127;77;680
800;;"Necrozma
Ultra Necrozma";97;167;97;167;97;129;754
801;;Magearna;80;95;115;130;115;65;600
802;;Marshadow;90;125;80;90;90;125;600
803;;Poipole;67;73;67;73;67;73;420
804;;Naganadel;73;73;73;127;73;121;540
805;;Stakataka;61;131;211;53;101;13;570
806;;Blacephalon;53;127;53;151;79;107;570
807;;Zeraora;88;112;75;102;80;143;600
808;;Meltan;46;65;65;55;35;34;300
809;;Melmetal;135;143;143;80;65;34;600
810;;Grookey;50;65;50;40;40;65;310
811;;Thwackey;70;85;70;55;60;80;420
812;;Rillaboom;100;125;90;60;70;85;530
813;;Scorbunny;50;71;40;40;40;69;310
814;;Raboot;65;86;60;55;60;94;420
815;;Cinderace;80;116;75;65;75;119;530
816;;Sobble;50;40;40;70;40;70;310
817;;Drizzile;65;60;55;95;55;90;420
818;;Inteleon;70;85;65;125;65;120;530
819;;Skwovet;70;55;55;35;35;25;275
820;;Greedent;120;95;95;55;75;20;460
821;;Rookidee;38;47;35;33;35;57;245
822;;Corvisquire;68;67;55;43;55;77;365
823;;Corviknight;98;87;105;53;85;67;495
824;;Blipbug;25;20;20;25;45;45;180
825;;Dottler;50;35;80;50;90;30;335
826;;Orbeetle;60;45;110;80;120;90;505
827;;Nickit;40;28;28;47;52;50;245
828;;Thievul;70;58;58;87;92;90;455
829;;Gossifleur;40;40;60;40;60;10;250
830;;Eldegoss;60;50;90;80;120;60;460
831;;Wooloo;42;40;55;40;45;48;270
832;;Dubwool;72;80;100;60;90;88;490
833;;Chewtle;50;64;50;38;38;44;284
834;;Drednaw;90;115;90;48;68;74;485
835;;Yamper;59;45;50;40;50;26;270
836;;Boltund;69;90;60;90;60;121;490
837;;Rolycoly;30;40;50;40;50;30;240
838;;Carkol;80;60;90;60;70;50;410
839;;Coalossal;110;80;120;80;90;30;510
840;;Applin;40;40;80;40;40;20;260
841;;Flapple;70;110;80;95;60;70;485
842;;Appletun;110;85;80;100;80;30;485
843;;Silicobra;52;57;75;35;50;46;315
844;;Sandaconda;72;107;125;65;70;71;510
845;;Cramorant;70;85;55;85;95;85;475
846;;Arrokuda;41;63;40;40;30;66;280
847;;Barraskewda;61;123;60;60;50;136;490
848;;Toxel;40;38;35;54;35;40;242
849;;Toxtricity;75;98;70;114;70;75;502
850;;Sizzlipede;50;65;45;50;50;45;305
851;;Centiskorch;100;115;65;90;90;65;525
852;;Clobbopus;50;68;60;50;50;32;310
853;;Grapploct;80;118;90;70;80;42;480
854;;Sinistea;40;45;45;74;54;50;308
855;;Polteageist;60;65;65;134;114;70;508
856;;Hatenna;42;30;45;56;53;39;265
857;;Hattrem;57;40;65;86;73;49;370
858;;Hatterene;57;90;95;136;103;29;510
859;;Impidimp;45;45;30;55;40;50;265
860;;Morgrem;65;60;45;75;55;70;370
861;;Grimmsnarl;95;120;65;95;75;60;510
862;;Obstagoon;93;90;101;60;81;95;520
863;;Perrserker;70;110;100;50;60;50;440
864;;Cursola;60;95;50;145;130;30;510
865;;Sirfetch'd;62;135;95;68;82;65;507
866;;Mr. Rime;80;85;75;110;100;70;520
867;;Runerigus;58;95;145;50;105;30;483
868;;Milcery;45;40;40;50;61;34;270
869;;Alcremie;65;60;75;110;121;64;495
870;;Falinks;65;100;100;70;60;75;470
871;;Pincurchin;48;101;95;91;85;15;435
872;;Snom;30;25;35;45;30;20;185
873;;Frosmoth;70;65;60;125;90;65;475
874;;Stonjourner;100;125;135;20;20;70;470
875;;"Eiscue
Ice Face";75;80;110;65;90;50;470
875;;"Eiscue
Noice Face";75;80;70;65;50;130;470
876;;"Indeedee
Male";60;65;55;105;95;95;475
876;;"Indeedee
Female";70;55;65;95;105;85;475
877;;Morpeko;58;95;58;70;58;97;436
878;;Cufant;72;80;49;40;49;40;330
879;;Copperajah;122;130;69;80;69;30;500
880;;Dracozolt;90;100;90;80;70;75;505
881;;Arctozolt;90;100;90;90;80;55;505
882;;Dracovish;90;90;100;70;80;75;505
883;;Arctovish;90;90;100;80;90;55;505
884;;Duraludon;70;95;115;120;50;85;535
885;;Dreepy;28;60;30;40;30;82;270
886;;Drakloak;68;80;50;60;50;102;410
887;;Dragapult;88;120;75;100;75;142;600
888;;"Zacian
Hero of Many Battles";92;120;115;80;115;138;660
888;;"Zacian
Crowned Sword";92;150;115;80;115;148;700
889;;"Zamazenta
Hero of Many Battles";92;120;115;80;115;138;660
889;;"Zamazenta
Crowned Shield";92;120;140;80;140;128;700
890;;Eternatus;140;85;95;145;95;130;690
890;;"Eternatus
Eternamax Eternatus";255;115;250;125;250;130;1125
891;;Kubfu;60;90;60;53;50;72;385
892;;Urshifu;100;130;100;63;60;97;550
893;;Zarude;105;120;105;70;95;105;600
894;;Regieleki;80;100;50;100;50;200;580
895;;Regidrago;200;100;50;100;50;80;580
896;;Glastrier;100;145;130;65;110;30;580
897;;Spectrier;100;65;60;145;80;130;580
898;;Calyrex;100;80;80;80;80;80;500
898;;"Calyrex
Ice Rider Calyrex";100;165;150;85;130;50;680
898;;"Calyrex
Shadow Rider Calyrex";100;85;80;165;100;150;680
899;;Wyrdeer;103;105;72;105;75;65;525
900;;Kleavor;70;130;95;45;75;85;500
901;;Ursaluna;130;140;105;45;80;50;550
901;;"Ursaluna
Bloodmoon Ursaluna";113;70;120;135;65;52;555
902;;"Basculegion
Male";120;112;65;80;75;78;530
902;;"Basculegion
Female";120;92;65;100;75;78;530
903;;Sneasler;80;130;60;40;80;120;510
904;;Overqwil;85;115;95;65;65;85;510
905;;"Enamorus
Incarnate Forme";74;115;70;135;80;106;580
905;;"Enamorus
Therian Forme";74;115;110;135;100;46;580
906;;Sprigatito;40;61;54;45;45;65;310
907;;Floragato;61;80;63;60;63;83;410
908;;Meowscarada;76;110;70;81;70;123;530
909;;Fuecoco;67;45;59;63;40;36;310
910;;Crocalor;81;55;78;90;58;49;411
911;;Skeledirge;104;75;100;110;75;66;530
912;;Quaxly;55;65;45;50;45;50;310
913;;Quaxwell;70;85;65;65;60;65;410
914;;Quaquaval;85;120;80;85;75;85;530
915;;Lechonk;54;45;40;35;45;35;254
916;;"Oinkologne
Male";110;100;75;59;80;65;489
916;;"Oinkologne
Female";115;90;70;59;90;65;489
917;;Tarountula;35;41;45;29;40;20;210
918;;Spidops;60;79;92;52;86;35;404
919;;Nymble;33;46;40;21;25;45;210
920;;Lokix;71;102;78;52;55;92;450
921;;Pawmi;45;50;20;40;25;60;240
922;;Pawmo;60;75;40;50;40;85;350
923;;Pawmot;70;115;70;70;60;105;490
924;;Tandemaus;50;50;45;40;45;75;305
925;;Maushold;74;75;70;65;75;111;470
926;;Fidough;37;55;70;30;55;65;312
927;;Dachsbun;57;80;115;50;80;95;477
928;;Smoliv;41;35;45;58;51;30;260
929;;Dolliv;52;53;60;78;78;33;354
930;;Arboliva;78;69;90;125;109;39;510
931;;Squawkabilly;82;96;51;45;51;92;417
932;;Nacli;55;55;75;35;35;25;280
933;;Naclstack;60;60;100;35;65;35;355
934;;Garganacl;100;100;130;45;90;35;500
935;;Charcadet;40;50;40;50;40;35;255
936;;Armarouge;85;60;100;125;80;75;525
937;;Ceruledge;75;125;80;60;100;85;525
938;;Tadbulb;61;31;41;59;35;45;272
939;;Bellibolt;109;64;91;103;83;45;495
940;;Wattrel;40;40;35;55;40;70;280
941;;Kilowattrel;70;70;60;105;60;125;490
942;;Maschiff;60;78;60;40;51;51;340
943;;Mabosstiff;80;120;90;60;70;85;505
944;;Shroodle;40;65;35;40;35;75;290
945;;Grafaiai;63;95;65;80;72;110;485
946;;Bramblin;40;65;30;45;35;60;275
947;;Brambleghast;55;115;70;80;70;90;480
948;;Toedscool;40;40;35;50;100;70;335
949;;Toedscruel;80;70;65;80;120;100;515
950;;Klawf;70;100;115;35;55;75;450
951;;Capsakid;50;62;40;62;40;50;304
952;;Scovillain;65;108;65;108;65;75;486
953;;Rellor;41;50;60;31;58;30;270
954;;Rabsca;75;50;85;115;100;45;470
955;;Flittle;30;35;30;55;30;75;255
956;;Espathra;95;60;60;101;60;105;481
957;;Tinkatink;50;45;45;35;64;58;297
958;;Tinkatuff;65;55;55;45;82;78;380
959;;Tinkaton;85;75;77;70;105;94;506
960;;Wiglett;10;55;25;35;25;95;245
961;;Wugtrio;35;100;50;50;70;120;425
962;;Bombirdier;70;103;85;60;85;82;485
963;;Finizen;70;45;40;45;40;75;315
964;;"Palafin
Zero";100;70;72;53;62;100;457
964;;"Palafin
Hero";100;160;97;106;87;100;650
965;;Varoom;45;70;63;30;45;47;300
966;;Revavroom;80;119;90;54;67;90;500
967;;Cyclizar;70;95;65;85;65;121;501
968;;Orthworm;70;85;145;60;55;65;480
969;;Glimmet;48;35;42;105;60;60;350
970;;Glimmora;83;55;90;130;81;86;525
971;;Greavard;50;61;60;30;55;34;290
972;;Houndstone;72;101;100;50;97;68;488
973;;Flamigo;82;115;74;75;64;90;500
974;;Cetoddle;108;68;45;30;40;43;334
975;;Cetitan;170;113;65;45;55;73;521
976;;Veluza;90;102;73;78;65;70;478
977;;Dondozo;150;100;115;65;65;35;530
978;;Tatsugiri;68;50;60;120;95;82;475
979;;Annihilape;110;115;80;50;90;90;535
980;;Clodsire;130;75;60;45;100;20;430
981;;Farigiraf;120;90;70;110;70;60;520
982;;Dudunsparce;125;100;80;85;75;55;520
983;;Kingambit;100;135;120;60;85;50;550
984;;Great Tusk;115;131;131;53;53;87;570
985;;Scream Tail;115;65;99;65;115;111;570
986;;Brute Bonnet;111;127;99;79;99;55;570
987;;Flutter Mane;55;55;55;135;135;135;570
988;;Slither Wing;85;135;79;85;105;81;570
989;;Sandy Shocks;85;81;97;121;85;101;570
990;;Iron Treads;90;112;120;72;70;106;570
991;;Iron Bundle;56;80;114;124;60;136;570
992;;Iron Hands;154;140;108;50;68;50;570
993;;Iron Jugulis;94;80;86;122;80;108;570
994;;Iron Moth;80;70;60;140;110;110;570
995;;Iron Thorns;100;134;110;70;84;72;570
996;;Frigibax;65;75;45;35;45;55;320
997;;Arctibax;90;95;66;45;65;62;423
998;;Baxcalibur;115;145;92;75;86;87;600
999;;"Gimmighoul
Chest Form";45;30;70;75;70;10;300
999;;"Gimmighoul
Roaming Form";45;30;25;75;45;80;300
1000;;Gholdengo;87;60;95;133;91;84;550
1001;;Wo-Chien;85;85;100;95;135;70;570
1002;;Chien-Pao;80;120;80;90;65;135;570
1003;;Ting-Lu;155;110;125;55;80;45;570
1004;;Chi-Yu;55;80;80;135;120;100;570
1005;;Roaring Moon;105;139;71;55;101;119;590
1006;;Iron Valiant;74;130;90;120;60;116;590
1007;;Koraidon;100;135;115;85;100;135;670
1008;;Miraidon;100;85;100;135;115;135;670
1009;;Walking Wake;99;83;91;125;83;109;590
1010;;Iron Leaves;90;130;88;70;108;104;590
1011;;Dipplin;80;80;110;95;80;40;485
1012;;Poltchageist;40;45;45;74;54;50;308
1013;;Sinistcha;71;60;106;121;80;70;508
1014;;Okidogi;88;128;115;58;86;80;555
1015;;Munkidori;88;75;66;130;90;106;555
1016;;Fezandipiti;88;91;82;70;125;99;555
1017;;Ogerpon;80;120;84;60;96;110;550
1018;;Archaludon;90;105;130;125;65;85;600
1019;;Hydrapple;106;80;110;120;80;44;540
1020;;Gouging Fire;105;115;121;65;93;91;590
1021;;Raging Bolt;125;73;91;137;89;75;590
1022;;Iron Boulder;90;120;80;68;108;124;590
1023;;Iron Crown;90;72;100;122;108;98;590
1024;;"Terapagos
Normal Form";90;65;85;65;85;60;450
1024;;"Terapagos
Terastal Form";95;95;110;105;110;85;600
1024;;"Terapagos
Stellar Form";160;105;110;130;110;85;700
1025;;Pecharunt;88;88;160;88;88;88;600
